user_id,problem_id,correct
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,1
1,21,1
1,22,1
1,23,1
2,24,0
1,25,1
1,26,0
1,27,0
1,28,1
1,29,1
1,30,1
2,31,1
1,32,0
2,33,0
2,34,1
2,35,1
2,36,1
1,37,1
1,38,1
1,39,1
1,40,0
2,41,1
1,42,0
2,43,1
2,44,1
2,45,1
2,46,1
2,47,1
2,48,0
2,49,1
2,50,1
2,51,1
2,52,0
2,53,1
2,29,1
2,27,1
2,54,0
2,55,1
2,56,0
3,73,1
4,73,1
5,74,1
4,75,1
4,76,1
5,77,1
4,78,1
5,79,1
4,80,1
3,81,0
5,82,1
5,83,1
6,84,1
6,85,1
6,86,1
6,87,1
3,88,1
3,89,1
6,73,0
3,90,1
8,78,0
8,91,1
8,93,1
8,80,1
8,94,1
8,95,0
8,90,1
9,79,0
9,77,0
9,96,1
9,93,1
9,97,1
9,98,1
9,74,1
10,85,0
10,99,0
10,100,1
10,83,1
10,93,1
10,89,0
10,76,0
11,95,1
11,79,1
11,94,1
11,101,1
11,73,1
6,104,1
6,105,1
6,80,1
6,96,1
6,91,1
13,106,0
15,105,1
16,81,1
15,90,1
15,91,1
15,96,1
15,109,1
16,92,1
16,83,0
16,88,1
8,108,0
18,100,0
16,82,0
18,107,1
18,109,1
18,80,1
18,76,1
16,91,0
18,90,1
8,105,1
8,77,1
19,89,0
8,74,1
8,82,1
19,103,1
16,93,0
19,96,0
20,93,0
20,78,1
16,75,1
19,92,1
20,110,1
16,96,1
19,111,0
20,88,0
20,97,1
19,112,0
20,90,1
20,109,1
16,107,1
19,101,1
21,84,0
21,108,0
13,115,1
13,116,1
13,117,1
13,118,1
23,119,1
24,120,0
27,127,0
27,122,1
27,118,1
27,128,1
27,129,1
27,130,1
27,96,0
28,118,1
28,131,0
28,106,1
28,132,1
28,115,1
28,133,1
28,134,1
2,145,1
1,146,0
2,147,1
1,149,1
34,152,1
35,153,0
36,154,0
37,155,1
38,156,0
34,157,0
37,158,0
34,159,0
37,160,1
37,161,1
37,88,1
37,162,0
39,163,1
37,164,1
40,165,0
39,166,1
41,167,0
42,168,1
39,169,0
42,170,0
40,172,0
37,173,0
36,174,0
40,36,1
40,177,1
42,178,0
41,179,0
34,181,1
40,33,1
13,183,0
13,184,1
46,185,0
13,93,1
13,186,1
13,187,1
47,188,0
49,83,1
46,193,0
46,198,1
50,199,0
47,200,1
46,201,1
49,202,0
53,204,1
53,108,0
46,206,1
46,208,1
54,188,0
50,163,0
54,211,1
54,213,1
55,214,0
50,215,0
54,216,1
47,217,0
53,187,1
53,87,1
54,219,0
53,220,1
53,205,1
53,222,1
55,223,1
55,225,1
57,118,1
57,133,1
54,226,0
57,122,1
53,227,1
57,227,1
53,122,1
57,137,1
60,103,0
53,118,1
53,116,1
53,120,1
50,35,0
57,231,1
47,158,1
60,183,1
54,233,1
54,236,0
47,237,1
49,238,0
46,240,0
62,242,1
64,244,1
65,245,0
62,246,0
64,247,1
65,248,0
66,249,1
66,250,0
66,253,1
